Time,Symbol,Type,Price,SL,TP,Lots,Profit,Comment,Status
2026-04-21 14:19:56,XAUUSD,SELL,4783.68,0,0,0.01,-3.2,Stop Loss 🛑,CLOSED
2026-04-21 14:19:56,XAUUSD,SELL,4783.68,0,0,0.01,-3.2,Stop Loss 🛑,CLOSED
2026-04-21 14:20:22,XAUUSD,SELL,4782.75,0,0,0.01,-2.81,Stop Loss 🛑,CLOSED
2026-04-21 14:20:22,XAUUSD,SELL,4782.75,0,0,0.01,-2.81,Stop Loss 🛑,CLOSED
2026-04-21 14:20:22,XAUUSD,SELL,4782.75,0,0,0.01,-3.09,Stop Loss 🛑,CLOSED
2026-04-21 14:20:22,XAUUSD,SELL,4782.75,0,0,0.01,-3.09,Stop Loss 🛑,CLOSED
2026-04-21 14:20:27,XAUUSD,SELL,4781.98,0,0,0.01,-3.25,Stop Loss 🛑,CLOSED
2026-04-21 14:20:27,XAUUSD,SELL,4781.98,0,0,0.01,-3.25,Stop Loss 🛑,CLOSED
2026-04-21 14:20:45,XAUUSD,SELL,4781.02,0,0,0.01,-3.0,Stop Loss 🛑,CLOSED
2026-04-21 14:20:45,XAUUSD,SELL,4781.02,0,0,0.01,-3.0,Stop Loss 🛑,CLOSED
2026-04-21 14:20:46,XAUUSD,SELL,4780.89,0,0,0.01,-2.97,Stop Loss 🛑,CLOSED
2026-04-21 14:20:46,XAUUSD,SELL,4780.89,0,0,0.01,-2.97,Stop Loss 🛑,CLOSED
2026-04-21 14:22:00,XAUUSD,BUY,4783.05,4776.19,4792.96,0.01,0,ENTRY,OPEN
2026-04-21 14:22:00,XAUUSD,BUY,4783.86,4776.12,4795.09,0.01,0,ENTRY,OPEN
2026-04-21 14:22:01,XAUUSD,BUY,4784.28,4776.08,4796.21,0.01,0,ENTRY,OPEN
2026-04-21 14:22:02,XAUUSD,BUY,4784.55,4776.06,4796.9,0.01,0,ENTRY,OPEN
2026-04-21 14:22:03,XAUUSD,BUY,4784.85,4776.04,4797.69,0.01,0,ENTRY,OPEN
2026-04-21 14:30:09,XAUUSD,SELL,4775.92,0,0,0.01,-7.11,Stop Loss 🛑,CLOSED
2026-04-21 14:30:09,XAUUSD,SELL,4775.92,0,0,0.01,-8.07,Stop Loss 🛑,CLOSED
2026-04-21 14:30:09,XAUUSD,SELL,4775.92,0,0,0.01,-8.36,Stop Loss 🛑,CLOSED
2026-04-21 14:30:09,XAUUSD,SELL,4775.92,0,0,0.01,-8.69,Stop Loss 🛑,CLOSED
2026-04-21 14:30:09,XAUUSD,SELL,4775.92,0,0,0.01,-8.98,Stop Loss 🛑,CLOSED
2026-04-21 14:33:05,XAUUSD,SELL,4782.79,4788.91,4773.64,0.01,0,ENTRY,OPEN
2026-04-21 14:33:07,XAUUSD,SELL,4783.62,4788.99,4775.59,0.01,0,ENTRY,OPEN
2026-04-21 14:33:09,XAUUSD,SELL,4783.84,4789.0,4776.12,0.01,0,ENTRY,OPEN
2026-04-21 14:33:11,XAUUSD,SELL,4784.21,4789.03,4777.1,0.01,0,ENTRY,OPEN
2026-04-21 14:33:13,XAUUSD,SELL,4784.59,4789.06,4777.91,0.01,0,ENTRY,OPEN
2026-04-21 14:34:06,XAUUSD,SELL,4785.84,0,0,0.5,94.5,Strategy Exit 🤖,CLOSED
2026-04-21 14:36:15,XAUUSD,SELL,4788.78,4792.63,4783.03,0.01,0,ENTRY,OPEN
2026-04-21 14:36:17,XAUUSD,SELL,4788.92,4792.78,4783.15,0.01,0,ENTRY,OPEN
2026-04-21 14:36:16,XAUUSD,BUY,4788.94,0,0,0.01,-6.08,Stop Loss 🛑,CLOSED
2026-04-21 14:36:20,XAUUSD,SELL,4788.59,4793.15,4781.77,0.01,0,ENTRY,OPEN
2026-04-21 14:36:18,XAUUSD,BUY,4789.08,0,0,0.01,-5.46,Stop Loss 🛑,CLOSED
2026-04-21 14:36:18,XAUUSD,BUY,4789.08,0,0,0.01,-5.33,Stop Loss 🛑,CLOSED
2026-04-21 14:36:18,XAUUSD,BUY,4789.08,0,0,0.01,-4.89,Stop Loss 🛑,CLOSED
2026-04-21 14:36:18,XAUUSD,BUY,4789.08,0,0,0.01,-4.47,Stop Loss 🛑,CLOSED
2026-04-21 14:36:27,XAUUSD,SELL,4789.77,4793.71,4783.89,0.01,0,ENTRY,OPEN
2026-04-21 14:36:29,XAUUSD,SELL,4789.74,4793.98,4783.41,0.01,0,ENTRY,OPEN
2026-04-21 14:38:32,XAUUSD,SELL,4783.1,4794.85,4765.5,0.01,0,ENTRY,OPEN
2026-04-21 14:38:32,XAUUSD,BUY,4783.86,0,0,0.01,5.95,Take Profit 🎯,CLOSED
2026-04-21 14:38:32,XAUUSD,BUY,4783.22,0,0,0.01,6.62,Take Profit 🎯,CLOSED
2026-04-21 14:38:37,XAUUSD,SELL,4783.18,4794.92,4765.59,0.01,0,ENTRY,OPEN
2026-04-21 14:38:33,XAUUSD,BUY,4782.37,0,0,0.01,6.29,Take Profit 🎯,CLOSED
2026-04-21 14:38:33,XAUUSD,BUY,4782.37,0,0,0.01,6.78,Take Profit 🎯,CLOSED
2026-04-21 14:38:44,XAUUSD,BUY,4781.43,0,0,0.01,6.95,Take Profit 🎯,CLOSED
2026-04-21 14:38:46,XAUUSD,SELL,4783.37,4795.07,4765.9,0.01,0,ENTRY,OPEN
2026-04-21 14:38:48,XAUUSD,SELL,4783.44,4795.07,4766.03,0.01,0,ENTRY,OPEN
2026-04-21 14:38:51,XAUUSD,SELL,4783.04,4795.07,4765.93,0.01,0,ENTRY,OPEN
2026-04-21 14:48:19,XAUUSD,BUY,4781.93,0,0,0.01,0.28,Strategy Exit 🤖,CLOSED
2026-04-21 14:48:19,XAUUSD,BUY,4781.93,0,0,0.01,1.03,Strategy Exit 🤖,CLOSED
2026-04-21 14:48:19,XAUUSD,BUY,4781.93,0,0,0.01,1.72,Strategy Exit 🤖,CLOSED
2026-04-21 14:48:19,XAUUSD,BUY,4781.93,0,0,0.01,1.47,Strategy Exit 🤖,CLOSED
2026-04-21 14:48:19,XAUUSD,BUY,4781.93,0,0,0.01,1.18,Strategy Exit 🤖,CLOSED
2026-04-20 15:23:30,Volatility 50 Index,BUY,84.3268,0,0,0,-0.13,,CLOSED
2026-04-20 15:23:35,Volatility 50 Index,BUY,84.3139,0,0,0,-0.08,,CLOSED
2026-04-20 15:29:50,XAUUSD,SELL,4825.68,0,0,0,10.37,,CLOSED
2026-04-20 15:29:50,XAUUSD,SELL,4825.68,0,0,0,10.14,,CLOSED
2026-04-20 15:29:50,XAUUSD,SELL,4825.68,0,0,0,10.14,,CLOSED
2026-04-20 15:48:47,XAUUSD,SELL,4821.35,0,0,0,2.87,,CLOSED
2026-04-20 15:48:47,XAUUSD,SELL,4821.35,0,0,0,3.03,,CLOSED
2026-04-20 15:48:47,XAUUSD,SELL,4821.35,0,0,0,2.75,,CLOSED
2026-04-20 15:48:48,Volatility 50 Index,BUY,84.064,0,0,0,0.9,,CLOSED
2026-04-20 15:48:48,Volatility 50 Index,BUY,84.064,0,0,0,0.9,,CLOSED
2026-04-20 15:48:48,Volatility 50 Index,BUY,84.064,0,0,0,0.93,,CLOSED
2026-04-20 16:00:31,XAUUSD,SELL,4814.11,0,0,0,-7.54,,CLOSED
2026-04-20 16:00:31,XAUUSD,SELL,4814.11,0,0,0,-7.53,,CLOSED
